date,hour,expiry,strike_price,close
2023-10-23,18,2023-10-27,215.0,6.7
2023-10-23,18,2023-10-27,220.0,1.9
2023-10-23,18,2023-10-27,210.0,6.4
2023-10-23,17,2023-10-27,215.0,6.0
2023-10-23,17,2023-10-27,195.0,21.4
2023-10-23,17,2023-10-27,190.0,23.2
2023-10-23,17,2023-10-27,180.0,40.3
2023-10-23,17,2023-10-27,230.0,0.9
2023-10-23,17,2023-10-27,210.0,6.4
2023-10-23,17,2023-10-27,220.0,1.9
2023-10-23,17,2023-10-27,225.0,1.6
2023-10-23,17,2023-10-27,200.0,19.6
2023-10-23,17,2023-10-27,205.0,11.9
2023-10-23,16,2023-10-27,225.0,2.0
2023-10-23,16,2023-10-27,210.0,6.4
2023-10-23,16,2023-10-27,180.0,40.3
2023-10-23,16,2023-10-27,200.0,19.6
2023-10-23,16,2023-10-27,220.0,1.9
2023-10-23,16,2023-10-27,215.0,6.0
2023-10-23,16,2023-10-27,230.0,0.9
2023-10-23,16,2023-10-27,190.0,23.2
2023-10-23,16,2023-10-27,195.0,21.4
2023-10-23,16,2023-10-27,205.0,11.9
2023-10-23,15,2023-10-27,205.0,11.9
2023-10-23,15,2023-10-27,215.0,6.4
2023-10-23,15,2023-10-27,190.0,23.2
2023-10-23,15,2023-10-27,230.0,0.8
2023-10-23,15,2023-10-27,225.0,1.6
2023-10-23,15,2023-10-27,210.0,6.4
2023-10-23,15,2023-10-27,220.0,2.0
2023-10-23,15,2023-10-27,200.0,19.6
2023-10-23,15,2023-10-27,180.0,33.4
2023-10-23,15,2023-10-27,195.0,21.4
2023-10-23,14,2023-10-27,225.0,1.1
2023-10-23,14,2023-10-27,190.0,23.2
2023-10-23,14,2023-10-27,200.0,19.6
2023-10-23,14,2023-10-27,215.0,6.0
2023-10-23,14,2023-10-27,220.0,1.9
2023-10-23,14,2023-10-27,195.0,21.4
2023-10-23,14,2023-10-27,205.0,11.9
2023-10-23,14,2023-10-27,230.0,0.7
2023-10-23,14,2023-10-27,210.0,6.4
2023-10-23,14,2023-10-27,180.0,33.4
2023-10-23,13,2023-10-27,225.0,1.1
2023-10-23,13,2023-10-27,205.0,11.9
