Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,17-Feb-2025,24-Apr-2025,CE,1360.00,-,-,-,30.80,-,10.35,-,-,-,-,-,1224.90
RELIANCE,17-Feb-2025,27-Feb-2025,CE,1190.00,32.85,45.40,30.30,43.05,43.20,43.05,739.00,4540.67,143.62,268000.00,10500.00,1224.90
RELIANCE,17-Feb-2025,27-Feb-2025,CE,1330.00,0.80,0.90,0.70,0.80,0.80,0.80,542.00,3606.51,2.21,833000.00,-41000.00,1224.90
RELIANCE,17-Feb-2025,27-Feb-2025,CE,1200.00,25.00,37.85,22.20,35.20,35.25,35.20,7210.00,44409.01,1149.01,2042500.00,-77000.00,1224.90
RELIANCE,17-Feb-2025,27-Feb-2025,CE,1340.00,0.70,0.75,0.60,0.70,0.75,0.70,946.00,6341.54,3.34,1201500.00,-17000.00,1224.90
RELIANCE,17-Feb-2025,27-Feb-2025,CE,1020.00,186.00,205.00,186.00,205.00,205.00,206.70,5.00,30.29,4.79,4000.00,500.00,1224.90
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1350.00,5.65,5.90,4.70,5.45,5.45,5.45,401.00,2717.17,10.42,419000.00,16500.00,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1110.00,-,-,-,160.85,-,118.95,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1120.00,-,-,-,135.80,-,110.10,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1240.00,31.95,33.00,25.95,29.90,29.35,29.90,262.00,1662.85,38.45,211000.00,15000.00,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1360.00,5.00,5.15,4.30,4.70,4.75,4.70,68.00,463.98,1.58,96000.00,1000.00,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1130.00,-,-,-,143.50,-,101.45,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1250.00,27.90,28.20,22.10,26.10,25.60,26.10,927.00,5909.71,115.96,764500.00,83000.00,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1370.00,-,-,-,5.30,5.30,2.85,-,-,-,10500.00,-,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1140.00,-,-,-,121.30,-,93.10,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1260.00,23.05,23.70,19.00,22.15,21.95,22.15,729.00,4667.91,75.21,626500.00,96000.00,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1380.00,3.90,4.50,3.15,3.80,3.80,2.30,6.00,41.52,0.12,18000.00,-1000.00,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1390.00,-,-,-,13.25,-,1.80,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1150.00,-,-,-,126.95,-,85.05,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1270.00,20.05,20.05,16.20,18.80,18.10,18.80,273.00,1757.74,24.19,165000.00,-1500.00,1217.25
RELIANCE,14-Feb-2025,27-Mar-2025,CE,1400.00,3.05,3.60,2.60,2.95,2.90,2.95,577.00,4047.21,8.21,1277500.00,-1000.00,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1240.00,-,-,-,79.75,-,43.30,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1380.00,-,-,-,25.75,-,7.35,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1120.00,-,-,-,163.15,-,120.40,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1190.00,40.95,43.75,31.00,38.25,36.90,38.25,1159.00,7103.95,207.90,257500.00,72000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1330.00,1.05,1.10,0.80,0.95,0.95,0.95,1712.00,11392.70,7.90,874000.00,-381000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1020.00,-,-,-,197.80,197.80,199.60,-,-,-,3500.00,-,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1200.00,33.35,36.35,24.70,31.15,29.70,31.15,9268.00,56956.16,1348.16,2119500.00,71000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1340.00,0.90,1.00,0.60,0.80,0.80,0.80,1078.00,7226.86,4.26,1218500.00,-126500.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1040.00,-,-,-,252.60,-,179.65,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1210.00,26.45,29.00,19.15,24.35,23.35,24.35,9661.00,59538.03,1088.98,1026500.00,223500.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1350.00,0.80,0.90,0.70,0.80,0.80,0.80,1758.00,11873.16,6.66,2753000.00,-145000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1060.00,-,-,-,165.00,165.00,159.70,-,-,-,500.00,-,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1220.00,20.10,22.75,14.40,18.75,17.75,18.75,20218.00,125138.50,1808.70,2662500.00,239500.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1360.00,0.70,0.70,0.55,0.65,0.65,0.65,345.00,2347.06,1.06,676500.00,-33500.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1230.00,15.75,17.35,10.65,13.85,13.10,13.85,10940.00,68005.96,724.96,2118000.00,105500.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1080.00,134.00,140.50,134.00,140.50,140.50,139.75,2.00,12.17,1.37,-,-,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1370.00,0.65,0.65,0.50,0.60,0.55,0.60,196.00,1343.17,0.57,461000.00,-32000.00,1217.25
