Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1210.00,68.10,69.10,66.20,66.20,66.20,66.20,3.00,19.17,1.02,1000.00,1000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1060.00,-,-,-,234.25,-,193.70,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1220.00,51.10,62.50,49.05,59.30,58.75,59.30,125.00,797.03,34.53,53000.00,-5500.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1360.00,7.65,9.85,7.20,9.25,9.05,9.25,128.00,876.24,5.84,129500.00,29000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1080.00,-,-,-,216.25,-,174.65,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1090.00,-,-,-,148.30,-,165.30,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1230.00,45.50,54.00,43.50,52.80,52.80,52.80,59.00,377.85,15.00,6000.00,-500.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1380.00,-,-,-,34.80,-,7.90,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1100.00,-,-,-,135.00,135.00,156.05,-,-,-,1000.00,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1240.00,40.50,49.90,38.50,47.85,47.15,47.85,117.00,750.89,25.49,65500.00,9000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1110.00,-,-,-,131.75,-,146.90,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1250.00,36.95,44.35,33.50,42.15,42.10,42.15,520.00,3344.81,94.81,128500.00,-91000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1120.00,-,-,-,170.00,170.00,137.95,-,-,-,500.00,-,1241.80
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1280.00,7.95,9.05,7.35,8.30,8.45,8.30,2971.00,19134.81,120.41,2031500.00,25500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1290.00,6.30,7.15,5.80,6.50,6.70,6.50,1741.00,11285.26,55.81,1143000.00,81500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1480.00,0.45,0.45,0.45,0.45,0.45,0.05,1.00,7.40,-,91000.00,-500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1500.00,0.30,0.30,0.25,0.30,0.30,0.30,444.00,3330.60,0.60,3036500.00,4500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1520.00,0.30,0.35,0.30,0.30,0.30,0.05,36.00,273.65,0.05,751500.00,-3500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1100.00,125.00,133.75,124.50,131.50,131.50,131.50,45.00,276.63,29.13,113000.00,-2000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1300.00,5.60,5.80,4.70,5.25,5.40,5.25,7255.00,47346.73,189.23,10184000.00,540000.00,1221.25
