date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-23,13,BNB-231027-195-P,BNBUSDT,P,231027-195,0.30000000,0.30000000,0.20000000,0.20000000,1267.73000000,1267.73000000,0E-8,0.20000000,0E-8,50.00000000,"",0.63558519,1.00000000,0.91779259,-0.10050903,0.00865870,0.03904517,-0.47780344,1638.33000000,358388.62575042
2023-10-23,13,BNB-231027-200-P,BNBUSDT,P,231027-200,0.20000000,0.20000000,0.20000000,0.20000000,10.00000000,10.00000000,0.10000000,0.20000000,1.00000000,18.74000000,"",0.51784158,0.10000000,0.48759550,-0.03349909,0.00689637,0.01652154,-0.10741073,255.24000000,55834.36355102
2023-10-23,18,BNB-231027-210-C,BNBUSDT,C,231027-210,6.40000000,6.40000000,6.40000000,6.40000000,0E-8,0E-8,9.40000000,12.80000000,11.85000000,20.08000000,"",0.65046310,12.00000000,0.52523155,0.84781859,0.02057302,0.05128602,-0.38028633,13.00000000,2875.14230718
2023-10-23,01,BNB-231027-200-P,BNBUSDT,P,231027-200,0.30000000,0.40000000,0.30000000,0.40000000,17.03000000,17.03000000,0.10000000,0.30000000,1.00000000,66.00000000,"",0.53238392,0.10000000,0.48269898,-0.03945269,0.00747478,0.02012550,-0.11428860,245.24000000,53655.73563551
2023-10-23,16,BNB-231027-205-C,BNBUSDT,C,231027-205,11.50000000,11.90000000,11.50000000,11.90000000,0.24000000,0.24000000,13.30000000,16.50000000,13.58000000,5.00000000,"",0.59299469,16.10000000,0.49649734,0.93732258,0.01127782,0.02713149,-0.18580237,7.49000000,1654.72971220
2023-10-23,02,BNB-231027-200-C,BNBUSDT,C,231027-200,16.40000000,17.70000000,16.40000000,17.70000000,12.60000000,12.60000000,17.70000000,23.70000000,17.92000000,21.13000000,"",1.19003296,21.30000000,0.79501648,0.87902889,0.01070207,0.04756874,-0.44932077,21.00000000,4621.99455312
2023-10-23,05,BNB-231027-225-P,BNBUSDT,P,231027-225,13.50000000,13.50000000,13.50000000,13.50000000,0E-8,0E-8,4.60000000,5.90000000,50.00000000,50.00000000,"",0.43834448,5.70000000,0.41917224,-0.61652858,0.03881798,0.08958735,-0.45982561,1.31000000,290.61093618
2023-10-23,06,BNB-231027-190-C,BNBUSDT,C,231027-190,23.20000000,23.20000000,23.20000000,23.20000000,0E-8,0E-8,26.60000000,35.40000000,15.50000000,21.78000000,"",1.86438560,31.40000000,1.13219280,0.90254807,0.00656561,0.03989720,-0.55881888,10.02000000,2207.99123674
2023-10-23,11,BNB-231027-210-P,BNBUSDT,P,231027-210,1.00000000,1.00000000,1.00000000,1.00000000,0.10000000,0.10000000,0.40000000,0.50000000,21.59000000,0.85000000,"",0.39049625,0.50000000,0.40000000,-0.11996268,0.02215870,0.04512745,-0.23544684,156.91000000,34546.21575802
2023-10-23,12,BNB-231027-195-C,BNBUSDT,C,231027-195,21.40000000,21.40000000,21.40000000,21.40000000,0E-8,0E-8,21.60000000,28.50000000,13.79000000,19.58000000,"",1.44949913,25.80000000,0.92474957,0.90708344,0.00802181,0.03726978,-0.45448497,11.23000000,2469.08517564
2023-10-23,18,BNB-231027-220-C,BNBUSDT,C,231027-220,2.70000000,3.60000000,1.80000000,1.90000000,261.86000000,261.86000000,3.00000000,4.10000000,50.00000000,51.00000000,"",0.40222526,4.00000000,0.40111263,0.56098114,0.04511854,0.08589572,-0.48640580,649.24000000,143589.03011643
2023-10-23,16,BNB-231027-180-P,BNBUSDT,P,231027-180,0.20000000,0.20000000,0.20000000,0.20000000,0E-8,0E-8,0.10000000,0.20000000,0.02000000,50.00000000,"",1.05084717,0.10000000,0.99864721,-0.01759181,0.00197477,0.00955563,-0.13162310,145.04000000,32042.99031471
2023-10-23,17,BNB-231027-200-C,BNBUSDT,C,231027-200,17.70000000,19.60000000,17.70000000,19.60000000,12.70000000,12.70000000,17.50000000,21.00000000,20.81000000,0.10000000,"",0.68115234,20.60000000,0.54057617,0.96794460,0.00608504,0.01570593,-0.11846827,21.00000000,4632.29550546
2023-10-23,14,BNB-231027-180-C,BNBUSDT,C,231027-180,33.40000000,33.40000000,33.40000000,33.40000000,0E-8,0E-8,33.30000000,40.30000000,13.21000000,0.02000000,"",1.37643814,39.40000000,0.88821907,0.98786609,0.00160588,0.00697229,-0.08349985,0.17000000,37.28232116
2023-10-23,20,BNB-231027-180-P,BNBUSDT,P,231027-180,0.20000000,0.20000000,0.20000000,0.20000000,26.00000000,26.00000000,0.10000000,0.20000000,1.02000000,50.00000000,"",1.09385073,0.10000000,1.03975177,-0.01725676,0.00190229,0.00921974,-0.13859582,171.04000000,37940.39859386
2023-10-23,09,BNB-231027-215-C,BNBUSDT,C,231027-215,2.20000000,7.80000000,2.20000000,4.90000000,234.75000000,234.75000000,5.00000000,6.30000000,50.00000000,50.00000000,"",0.41502357,6.20000000,0.40751178,0.69010680,0.03809387,0.08015220,-0.41697280,89.58000000,19646.58122676
2023-10-23,23,BNB-231027-200-C,BNBUSDT,C,231027-200,19.60000000,21.00000000,19.60000000,21.00000000,0.20000000,0.20000000,24.10000000,32.30000000,17.31000000,22.21000000,"",1.65590286,29.30000000,1.02795143,0.92028374,0.00660417,0.03238167,-0.49930010,21.00000000,4794.65607831
2023-10-23,02,BNB-231027-180-C,BNBUSDT,C,231027-180,33.40000000,33.40000000,33.40000000,33.40000000,0E-8,0E-8,34.50000000,46.70000000,17.29000000,22.18000000,"",2.42605209,40.80000000,1.20000000,0.94835127,0.00372999,0.02502454,-0.35678458,0.17000000,37.41614638
2023-10-23,05,BNB-231027-205-P,BNBUSDT,P,231027-205,0.80000000,0.90000000,0.80000000,0.80000000,16.08000000,16.08000000,0.10000000,0.30000000,1.00000000,50.00000000,"",0.48758745,0.10000000,0.44379373,-0.04402459,0.00894312,0.02185200,-0.11874802,45.98000000,10200.22201961
2023-10-23,12,BNB-231027-220-C,BNBUSDT,C,231027-220,2.00000000,3.60000000,2.00000000,2.40000000,10.44000000,10.44000000,2.30000000,3.60000000,50.00000000,50.00000000,"",0.40711105,3.50000000,0.40355552,0.50458789,0.04410096,0.08941521,-0.47583154,399.66000000,87871.28951889
2023-10-23,07,BNB-231027-195-C,BNBUSDT,C,231027-195,21.40000000,21.40000000,21.40000000,21.40000000,0E-8,0E-8,21.40000000,28.50000000,21.51000000,22.13000000,"",1.46991730,25.50000000,0.93495865,0.89548848,0.00843688,0.04163425,-0.48657739,11.23000000,2463.70239969
2023-10-23,14,BNB-231027-210-C,BNBUSDT,C,231027-210,6.40000000,6.40000000,6.40000000,6.40000000,0E-8,0E-8,8.20000000,11.20000000,8.84000000,13.12000000,"",0.60937881,10.50000000,0.50468941,0.81091998,0.02424722,0.05981754,-0.40704520,13.00000000,2851.00102963
2023-10-23,23,BNB-231027-200-P,BNBUSDT,P,231027-200,0.20000000,0.20000000,0.20000000,0.20000000,78.74000000,78.74000000,0.10000000,0.40000000,15.26000000,11.08000000,"",0.86614788,0.20000000,0.77191770,-0.03250902,0.00431324,0.01588118,-0.18388385,323.98000000,73970.12744052
2023-10-23,02,BNB-231027-215-C,BNBUSDT,C,231027-215,3.40000000,5.70000000,2.20000000,5.60000000,31.93000000,31.93000000,5.70000000,6.80000000,50.00000000,50.00000000,"",0.38800120,6.80000000,0.40000000,0.71855180,0.03568035,0.07979335,-0.37921487,192.44000000,42355.07770488
2023-10-23,05,BNB-231027-180-P,BNBUSDT,P,231027-180,0.20000000,0.20000000,0.20000000,0.20000000,0E-8,0E-8,0.10000000,0.20000000,0.02000000,50.00000000,"",1.00739777,0.10000000,0.95758438,-0.01724218,0.00189916,0.01001289,-0.11740602,145.04000000,32175.73296487
2023-10-23,07,BNB-231027-225-P,BNBUSDT,P,231027-225,13.50000000,13.50000000,13.50000000,13.50000000,0E-8,0E-8,6.40000000,7.60000000,50.00000000,50.00000000,"",0.46014905,7.30000000,0.43007452,-0.70238955,0.03506187,0.07958945,-0.42786619,1.31000000,287.39538233
2023-10-23,12,BNB-231027-190-C,BNBUSDT,C,231027-190,23.20000000,23.20000000,23.20000000,23.20000000,0E-8,0E-8,25.70000000,34.30000000,12.41000000,20.67000000,"",1.77699089,30.90000000,1.08849545,0.91520966,0.00636610,0.03481448,-0.49971803,10.02000000,2203.04839358
2023-10-23,15,BNB-231027-180-C,BNBUSDT,C,231027-180,33.40000000,33.40000000,33.40000000,33.40000000,0E-8,0E-8,33.30000000,40.30000000,13.21000000,0.02000000,"",1.40600204,39.30000000,0.90300102,0.98699523,0.00168730,0.00735945,-0.09062144,0.17000000,37.28126450
2023-10-23,20,BNB-231027-230-C,BNBUSDT,C,231027-230,1.20000000,1.20000000,0.70000000,0.90000000,345.36000000,345.36000000,1.00000000,1.20000000,5.97000000,0.30000000,"",0.46105087,1.00000000,0.44484377,0.20714243,0.02976625,0.06172259,-0.39696603,1374.85000000,304971.68502557
2023-10-23,08,BNB-231027-180-P,BNBUSDT,P,231027-180,0.20000000,0.20000000,0.20000000,0.20000000,0E-8,0E-8,0.10000000,0.20000000,0.02000000,50.00000000,"",1.00245774,0.10000000,0.95261991,-0.01765618,0.00198885,0.01000863,-0.12043438,145.04000000,32013.14150913
2023-10-23,08,BNB-231027-205-C,BNBUSDT,C,231027-205,11.00000000,11.90000000,11.00000000,11.90000000,0.47000000,0.47000000,4.60000000,300.00000000,1.37000000,0.01000000,"",9.99999940,20.20000000,1.20000000,0.74320528,0.01168517,0.07407472,-1.12281348,7.49000000,1653.18829222
2023-10-23,01,BNB-231027-225-P,BNBUSDT,P,231027-225,13.50000000,13.50000000,13.50000000,13.50000000,0E-8,0E-8,7.20000000,8.30000000,50.00000000,50.00000000,"",0.48158646,7.90000000,0.44079323,-0.71120157,0.03281663,0.08068652,-0.41842321,1.31000000,286.61316948
2023-10-23,11,BNB-231027-225-P,BNBUSDT,P,231027-225,13.50000000,13.50000000,13.50000000,13.50000000,0E-8,0E-8,5.80000000,7.00000000,50.00000000,50.00000000,"",0.45627832,6.70000000,0.42813916,-0.68143827,0.03694761,0.08053929,-0.44976420,1.31000000,288.41719867
2023-10-23,23,BNB-231027-210-P,BNBUSDT,P,231027-210,1.00000000,1.00000000,0.50000000,0.50000000,289.31000000,289.31000000,0.10000000,4.50000000,15.79000000,1.00000000,"",1.37305021,1.70000000,0.91658145,-0.15633527,0.01197108,0.05233747,-0.71957083,445.24000000,101655.84153842
2023-10-23,11,BNB-231027-210-C,BNBUSDT,C,231027-210,6.40000000,6.40000000,6.40000000,6.40000000,0E-8,0E-8,9.20000000,12.70000000,15.61000000,19.11000000,"",0.72305202,11.60000000,0.56152601,0.80269898,0.02191555,0.06265544,-0.45890284,13.00000000,2862.15540663
2023-10-23,01,BNB-231027-180-P,BNBUSDT,P,231027-180,0.20000000,0.20000000,0.20000000,0.20000000,0E-8,0E-8,0.10000000,0.20000000,0.02000000,50.00000000,"",0.93478143,0.10000000,0.88788390,-0.01836833,0.00214782,0.01063716,-0.11111216,145.04000000,31733.11000071
2023-10-23,09,BNB-231027-190-P,BNBUSDT,P,231027-190,0.10000000,0.20000000,0.10000000,0.10000000,1069.88000000,1069.88000000,0.10000000,0.20000000,32.19000000,69.33000000,"",0.75016916,0.10000000,0.71034610,-0.02333824,0.00341764,0.01253479,-0.11366821,1107.28000000,242847.35946378
2023-10-23,14,BNB-231027-195-P,BNBUSDT,P,231027-195,0.30000000,0.30000000,0.20000000,0.20000000,1267.73000000,1267.73000000,0E-8,0.20000000,0E-8,50.00000000,"",0.65270305,0.90000000,0.92635152,-0.09566606,0.00829508,0.03756116,-0.46914245,1638.33000000,359298.50129798
2023-10-23,14,BNB-231027-210-P,BNBUSDT,P,231027-210,1.00000000,1.00000000,0.50000000,0.50000000,0.95000000,0.95000000,0.50000000,0.80000000,1.82000000,50.00000000,"",0.43605030,0.70000000,0.41802515,-0.14585947,0.02475939,0.05059236,-0.28515251,156.91000000,34411.58242763
